ID,Event Name,Event location,Event Date,Submission deadline,Notification deadline,Conference,Journal
248,"The 2013 International Conference on Image Processing, Computer Vision, and Pattern Recognition","Las Vegas, USA","July 22, 2013","April 20, 2013","May 11, 2013",1,0
249,The 2013 International Conference on Internet Computing and BIG DATA,"Las Vegas, USA","July 22, 2013","April 20, 2013","May 11, 2013",1,0
250,PDPTA'13,"Las Vegas, USA","July 22, 2013","April 20, 2013","May 11, 2013",0,0
251,ICWN'13,"Las Vegas, USA","July 22, 2013","April 20, 2013","May 11, 2013",0,0
252,"The 2013 World Congress in Computer Science, Computer Engineering, and Applied Computing","Las Vegas, USA","July 22, 2013","April 20, 2013","May 11, 2013",0,0
253,ICAI'14,"Las Vegas, USA","July 21, 2014","June 4, 2014","June 14, 2014",0,0
254,IPCV'14,"Las Vegas, USA","July 21, 2014","June 4, 2014","June 14, 2014",0,0
255,ICWN'14,"Las Vegas, USA","July 21, 2014","June 4, 2014","June 14, 2014",0,0
256,The 2015 International Conference on Security and Management,"Las Vegas, USA","July 27, 2015","March 31, 2015","April 24, 2015",1,0
257,ICWN'15,"Las Vegas, USA","July 27, 2015","March 31, 2015","April 24, 2015",0,0
258,"The 2015 World Congress in Computer Science, Computer Engineering, and Applied Computing","Las Vegas, USA","July 27, 2015","March 31, 2015","April 24, 2015",0,0
259,The 2013 International Conference on Security and Management,"Las Vegas, USA","July 22, 2013","April 20, 2013","May 11, 2013",1,0
260,The 2013 International Conference on Software Engineering Research and Practice,"Las Vegas, USA","July 22, 2013","April 20, 2013","May 11, 2013",1,0
261,The 2013 International Conference on Data Mining,"Las Vegas, USA","July 22, 2013","March 18, 2013","April 18, 2013",1,0
262,The 2013 International Conference on Genetic and Evolutionary Methods,"Las Vegas, USA","July 22, 2013","March 18, 2013","April 18, 2013",1,0
263,The 2013 International Conference on Grid & Cloud Computing and Applications,"Las Vegas, USA","July 22, 2013","March 18, 2013","April 18, 2013",1,0
264,"The 2013 International Conference on Modeling, Simulation and Visualization Methods","Las Vegas, USA","July 22, 2013","March 18, 2013","April 18, 2013",1,0
265,The 2013 International Conference on Scientific Computing,"Las Vegas, USA","July 22, 2013","March 18, 2013","April 18, 2013",1,0
266,The 2013 International Conference on Software Engineering Research and Practice,"Las Vegas, USA","July 22, 2013","March 18, 2013","April 18, 2013",1,0
267,The 2013 International Conference on Software Engineering Research and Practice,"Las Vegas, USA","July 22, 2013","March 18, 2013","April 18, 2013",1,0
268,The 2013 International Conference on Software Engineering Research and Practice,"Las Vegas, USA","July 22, 2013","March 18, 2013","April 18, 2013",1,0
269,The 2013 International Conference on Wireless Networks,"Las Vegas, USA","July 22, 2013","March 18, 2013","April 18, 2013",1,0
270,The 2013 International Conference on Wireless Networks,"Las Vegas, USA","July 22, 2013","March 18, 2013","April 18, 2013",1,0
271,"The 2013 International Conference on e-Learning, e-Business, Enterprise Information Systems, and e-Government","Las Vegas, USA","July 22, 2013","March 18, 2013","April 18, 2013",1,0
272,"The 2013 International Conference on e-Learning, e-Business, Enterprise Information Systems, and e-Government","Las Vegas, USA","July 22, 2013","March 18, 2013","April 18, 2013",1,0
273,The 2013 International Conference on Artificial Intelligence,"Las Vegas, USA","July 22, 2013","April 6, 2013","April 27, 2013",1,0
274,The 2013 International Conference on Data Mining,"Las Vegas, USA","July 22, 2013","March 18, 2013","April 18, 2013",1,0
275,The 2013 International Conference on Frontiers in Education: Computer Science and Computer Engineering,"Las Vegas, USA","July 22, 2013","April 20, 2013","May 11, 2013",1,0
276,The 2013 International Conference on Frontiers in Education: Computer Science and Computer Engineering,"Las Vegas, USA","July 22, 2013","March 18, 2013","April 18, 2013",1,0
277,The 2013 International Conference on Frontiers in Education: Computer Science and Computer Engineering,"Las Vegas, USA","July 22, 2013","April 6, 2013","April 27, 2013",1,0
278,"The 2013 International Conference on Image Processing, Computer Vision, and Pattern Recognition","Las Vegas, USA","July 22, 2013","April 6, 2013","April 27, 2013",1,0
279,The 2013 International Conference on Software Engineering Research and Practice,"Las Vegas, USA","July 22, 2013","April 6, 2013","April 27, 2013",1,0
280,The 2013 International Conference on Wireless Networks,"Las Vegas, USA","July 22, 2013","March 18, 2013","April 18, 2013",1,0
281,"The 2013 International Conference on e-Learning, e-Business, Enterprise Information Systems, and e-Government","Las Vegas, USA","July 22, 2013","April 20, 2013","May 11, 2013",1,0
282,"The 2013 International Conference on e-Learning, e-Business, Enterprise Information Systems, and e-Government","Las Vegas, USA","July 22, 2013","April 6, 2013","April 27, 2013",1,0
283,"The 2013 World Congress in Computer Science, Computer Engineering, and Applied Computing","Las Vegas, USA","July 22, 2013","April 6, 2013","April 27, 2013",0,0
284,"The 2013 World Congress in Computer Science, Computer Engineering, and Applied Computing","Las Vegas, USA","July 22, 2013","April 6, 2013","April 27, 2013",0,0
285,"The 2013 World Congress in Computer Science, Computer Engineering, and Applied Computing","Las Vegas, USA","July 22, 2013","March 18, 2013","April 18, 2013",0,0
286,"The 2015 World Congress in Computer Science, Computer Engineering, and Applied Computing","Las Vegas, USA","July 27, 2015","April 15, 2015","April 30, 2015",0,0
287,"The 2015 World Congress in Computer Science, Computer Engineering, and Applied Computing","Las Vegas, USA","July 27, 2015","March 31, 2015","April 24, 2015",0,0
288,"The 2015 World Congress in Computer Science, Computer Engineering, and Applied Computing","Las Vegas, USA","July 27, 2015","March 31, 2015","April 24, 2015",0,0
289,The 2015 International Conference on Advances in Big Data Analytics,"Las Vegas, USA","July 27, 2015","March 31, 2015","April 24, 2015",1,0
290,The 2015 International Conference on Bioinformatics and Computational Biology,"Las Vegas, USA","July 27, 2015","March 31, 2015","April 24, 2015",1,0
291,11th International Conference on Data Mining,"Las Vegas, USA","July 27, 2015","March 31, 2015","April 24, 2015",1,0
292,"The 2013 International Conference on Image Processing, Computer Vision, and Pattern Recognition","Las Vegas, USA","July 22, 2013","June 2, 2013","June 12, 2013",1,0
293,"The 2013 International Conference on Image Processing, Computer Vision, and Pattern Recognition","Las Vegas, USA","July 22, 2013","June 2, 2013","June 12, 2013",1,0
294,The 2013 International Conference on Parallel and Distributed Processing Techniques and Applications,"Las Vegas, USA","July 22, 2013","June 2, 2013","June 12, 2013",1,0
295,"The 2013 International Conference on e-Learning, e-Business, Enterprise Information Systems, and e-Government","Las Vegas, USA","July 22, 2013","June 2, 2013","June 12, 2013",1,0
296,The 2013 International Conference on Artificial Intelligence,"Las Vegas, USA","July 22, 2013","June 2, 2013","June 12, 2013",1,0
297,The 2013 International Conference on Bioinformatics and Computational Biology,"Las Vegas, USA","July 22, 2013","June 2, 2013","June 12, 2013",1,0
298,The 2013 International Conference on Scientific Computing,"Las Vegas, USA","July 22, 2013","June 2, 2013","June 12, 2013",1,0
299,The 2013 International Conference on Grid & Cloud Computing and Applications,"Las Vegas, USA","July 22, 2013","June 2, 2013","June 12, 2013",1,0
300,The 2013 International Conference on Security and Management,"Las Vegas, Nevada","July 22, 2013","June 2,2013","June 12, 2013",1,0
301,MSV'13,"Las Vegas, Nevada","July 22, 2013","June 2, 2013","June 12, 2013",0,0
302,IKE'13,"Las Vegas, Nevada","July 22, 2013","June 2, 2013","June 12, 2013",0,0
303,The 2013 International Conference on Internet Computing and BIG DATA,"Las Vegas, Nevada","July 22, 2013","June 2, 2013","June 12, 2013",1,0
304,FECS'13,"Las Vegas, Nevada","July 22, 2013","June 2, 2013","June 12, 2013",0,0
305,SERP'13,"Las Vegas, Nevada","July 22, 2013","June 2, 2013","June 12, 2013",0,0
306,ICWN'13,"Las Vegas, Nevada","July 22, 2013","June 2, 2013","June 12, 2013",0,0
307,"The 2013 World Congress in Computer Science, Computer Engineering, and Applied Computing","Las Vegas, Nevada","July 22, 2013",,,0,0
308,"The 2013 World Congress in Computer Science, Computer Engineering, and Applied Computing","Las Vegas, Nevada","July 22, 2013",,,0,0
309,"The 2014 World Congress in Computer Science, Computer Engineering, and Applied Computing","Las Vegas, Nevada","July 21, 2014",,,0,0
310,International Journal of Research science and Management,,"October 28, 2019","October 15, 2019",,0,1
311,"2nd International Conference on Electrical, Communication and Computer Engineering","Istanbul, Turkey","April 14, 2020","Janurary 15, 2020","Feburary 15, 2020",1,0
312,International Journal of Education and Social Science,,"Novemeber 25, 2014","November 2, 2014",,0,1
313,8th International Conference on Advanced Technologies,Sarajevo Bosnia and Herzegovina,"August 26, 2019","June 30, 2019",,1,0
314,,,,,,0,0
315,,,,,,0,0
316,"The International Conference on Technological Advances in Electrical, Electronics and Computer Engineering","Konya, Turkey","May 9, 2013","March 20, 2013","April 20, 2013",1,0
317,"The International Conference on Technological Advances in Electrical, Electronics and Computer Engineering","Konya, Turkey","May 9, 2013","March 20, 2013","April 20, 2013",1,0
318,Journal of Engineering and Architecture,,"December 31, 2019","October 31, 2019",,0,1
319,Media and Communication,,July/September 2020,"March 15, 2020",,0,0
320,,N/A,,"October 31, 2014",N/a,0,0
321,,N/a,,"October 31, 2014",N/a,0,0
322,"The International Conference on Information System Security, Robotics Modeling, and E-Commerce Transactions (ISSRMET2015) & The International Conference on Organizational Strategy, Business Models, and Risk Management (OSBMRM2015)","Dubai, UAE","March 04, 2015","Feburary 10, 2015","Feb 25, 2015",1,0
323,The 6th International Symposium on Engineering and Natural Sciences,"Bangkok, Thailand","November 19, 2019","July 25, 2019","August 15, 2019",0,0
324,"8th Annual International Conference on Computer Games, Multimedia and Allied Technology (CGAT 2015)",Not Listed,"April 13, 2015","December 12, 2014","March 13, 2015",1,0
325,"8th Annual International Conference on Computer Games, Multimedia and Allied Technology (CGAT 2015)",Not Listed,"April 13, 2015","January 30, 2015","March 13, 2015",1,0
326,"The International Conference on Digital Information, Networking, and Wireless Communications (DINWC2014) & International Conference on Digital Security and Forensics (DigitalSec2014)","Ostrava, Czech Republic","June 24, 2014","May 4, 2014","June 4, 2014",1,0
327,The Second International Conference on Digital Enterprise and Information Systems (DEIS 2013),"Kuala Lumpur, Malaysia","March 4, 2013","January 3, 2013",N/a,1,0
328,The Second International Conference on Digital Enterprise and Information Systems (DEIS 2013),"Kuala Lumpur, Malaysia","March 4, 2013","January 3, 2013",N/a,1,0
329,The International Conference on Computing Technology and Information Management (ICCTIM2014),"Dubai, UAE","April 9, 2014","March 10, 2014","March 20, 2014",1,0
330,"The First International Conference on Green Computing, Technology and Innovation (ICGCTI2013)","Kuala Lumpur, Malaysia","March 4, 2013","February 3, 2013","Februray 13, 2013",1,0
331,2019 Tenth International Green and Sustainable Computing Conference (IGSC),"Alexandria, Virginia","October 21, 2019",N/a,N/a,1,0
332,Ireland International Conference on Education (IICE-2014),"Dublin, Ireland","October 27, 2014","September 11, 2014",N/a,1,0
333,"The First International Conference on Green Computing, Technology and Innovation (ICGCTI 2013)","Kuala Lumpur, Malaysia",,"January 3, 2013","January 25, 2013",1,0
334,Canada International Conference on Education (CICE-2014),"Nova Scotia, Canada","June 16, 2014","April 30, 2014","March 30, 2014",1,0
335,Ireland International Conference on Education (IICE-2015),"Dublin, Ireland","April 20, 2015","January 30, 2015","February 15, 2015",1,0
336,World Congress on Education (WCE-2014)!,"London, United Kingdom","November 10, 2014","August 31, 2014","September 15, 2014",0,0
337,World Congress on Education (WCE-2014),"Nelspruit, Pretoria, South Africa","September 15, 2014","June 1, 2014","June 15, 2014",0,0
338,,,,,,0,0
339,9th INTERNATIONAL CONFERENCE ON COMMUNICATION AND SIGNAL PROCESSING,"Melmaruvathur, India","April 9, 2020","Sep 9, 2019",None,1,0
340,8th International Conference on Software Engineering and Applications,"Vienna, Austria","August 24, 2019","July 27, 2019","August 10, 2019",1,0
341,Global Journal of Mathematics,,,,,0,1
342,Global Journal of Mathematics,,,,,0,1
343,,,,"March 3, 2020",,0,0
344,The 14th International Conference on Artificial Intelligence,USA,"July 16, 2012","May 16, 2012",,1,0
345,14th International Conference on Artificial Intelligence,USA,"July 16, 2012","May 16, 2012",,1,0
346,The 14th International Conference on Artificial Intelligence,USA,"July 16, 2012","May 16, 2012",,1,0
347,,,,,,0,0
348,The Second International Conference on Digital Enterprise and Information Systems,"Kuala Lumpur, Malaysia","March 4, 2013","February 6, 2013",,1,0
349,The Second International Conference on e-Technologies and Networks for Development,"Kuala Lumpur, Malaysia","March 4, 2013","February 6, 2013",,1,0
350,"The Second International Conference on Cyber Security, Cyber Peacefare and Digital Forensic","Kuala Lumpur, Malaysia","March 4, 2013","Feb. 10, 2013","Feb. 15, 2013",1,0
351,DICTAP 2013,"VSB-Technical University of Ostrava, Czech Republic","July 8, 2013","May 30, 2013",,0,0
352,ICIA2013,"Lodz University of Technology, Poland","September 23, 2013","August 20, 2013",,0,0
353,The World Congress on Computing and Information Technology,,"March 4, 2013",,,0,0
354,International Conference on Digital Security and Forensics,"Ostrava, Czech Republic","June 24, 2014",,,1,0
355,The Third International Conference on Digital Information Processing and Communications,"Dubai, UAE","January 30, 2013","January 1, 2013","January 10, 2013",1,0
356,INTELLI 2015,"St. Julians, Malta","October 11, 2015","May 24, 2015",,0,0
357,ICEND2014,"Beirut, Lebanon","April 30, 2014","March 30, 2014","April 15, 2014",0,0
358,The Fourth International Conference on Digital Information processing and Communications,"Kuala Lumpur, Malaysia","March 18, 2014","Februrary 18, 2014","March 04, 2014",1,0
359,,,,"Februrary 20, 2020",,0,0
360,"2018 IEEE GAMES, ENTERTAINMENT, MEDIA CONFERENCE (GEM)",N/A,N/A,N/A,N/A,1,0
361,American Journal of Software Engineering and Applications,N/A,N/A,N/A,N/A,0,1
362,Mathematics and Computer Science,N/A,N/A,N/A,N/A,0,0
363,Mathematics and Computer Science,N/A,N/A,N/A,N/A,0,0
364,American Journal of Software Engineering and Applications,N/A,N/A,N/A,N/A,0,1
365,2015 International Conference on Testing and Measurement: Techniques and Applications (TMTA2015),"Phuket Island, Thailand","January 16, 2015","October 15, 2014",,1,0
366,2019 IEEE Ethernet & IP @ Automotive Tech Day,"Detroit, Michigan","July 24, 2019",,"August 23, 2019",0,0
367,CFP: ICIA2012,"University Sultan Zainal Abidin, Kuala Terengganu, Malaysia","June 3, 2012","April 15, 2012","April 30, 2012",0,0
368,CFP - ICIA2012,"University Sultan Zainal Abidin, Kuala Terengganu, Malaysia","June 3, 2012","April 30, 2012","May 10, 2012",0,0
369,EBW2013,"University of the Thai Chamber of Commerce, Bangkok, Thailand","May 7, 2013","March 30, 2013","April 20, 2013",0,0
370,TAEECE 2013,"Mevlana University, Konya, Turkey","May 9, 2013","March 28, 2013","April 20, 2013",0,0
371,ICIEIS2014,"Lodz University of Technology, Lodz, Poland","September 22, 2014","August 25, 2014","September 05, 2014",0,0
372,The Third International Conference on e-Technologies and Networks for Development (ICeND2014),"Lebanese University, Campus of Hadath, Beirut- Lebanon","April 29, 2014","March 15, 2014","April 15, 2014",1,0
373,IRCET-The Fintech Revoultion,,"January 07, 2020","September 10, 2019","September 30, 2019",0,0
374,This Way to Sustainability,Bell Memorial Union,"March 26, 2015","October 31, 2014",,0,0
375,International Journal of Information Research And Review,N/A,N/A,N/A,N/A,0,1
376,IConSES/IConEST 2019,"Denver, CO, USA","October 07, 2019","August 01, 2019",,0,0
377,Computing Conference 2020,"London, UK","July 16, 2020","October 15, 2019","November 15, 2019",1,0
378,Computing Conference 2020,"London, UK","July 16, 2020","October 15, 2019","November 15, 2019",1,0
379,Annual Conference on Engineering and Applied Science,"Kyoto, Japan","December 17, 2019","October 13, 2019",,1,0
400,2019 IEEE International Conference on Big Data (BigData 2019),"Los Angeles, California, USA","December 9, 2019","November 10, 2019",,1,0
401,2019 IEEE International Conference on Big Data (IEEE BigData 2019),"Los Angeles, California, USA","December 10, 2019","August 19, 2019","October 16, 2019",1,0
402,IEEE Computer Society AI and Smart Manufacturing Working Group Plenary Meeting,"Beijing, China",October 2019,,,0,0
403,IEEE Central Coast Event,"Goleta, California","Jul 17, 2019",,,0,0
404,IEEE Central Coast Event,"Goleta, California","August 21, 2019",,,0,0
405,IEEE Central Coast Event,"Goleta, California","August 22, 2019",,,0,0
406,The 14th IEEE International Conference on Machine Learning And Applications (IEEE ICMLA 2015),"Miami, USA","December 9, 2015","July 6, 2015","September 9, 2015",1,0
407,IEEE international Symposium on Technology and Society 2019,Boston,"November 15, 2019","August 23, 2019",,0,0
408,International Conference on Intelligent Human Systems Integration (IHSI 2018),"Dubai, UAE","January 7, 2018",September 2017,,1,0
409,International Journal of Advanced Research in Computer Science (IJARCS),,,"August 10, 2019",Within 3 days,0,1
410,International Journal of Advanced Research in Computer Science (IJARCS),,,"August 11, 2019",Within 3 days,0,1
411,International Journal on Future Revolution in Computer Science & Communication Engineering (IJFRCSCE),,,"July 31, 2019",within 1-2 days,0,1
412,International Journal of Recent Engineering Research and Development,,,"October 15, 2019",Within 4-6 days,0,1
413,"International Conference on Applied Mathematics, Statistics, Modeling, Simulation (AMSMS2019)","Phuket, Thailand","September 22, 2019","August 30, 2019",,1,0
414,Joint International Conference,"Kuala Lumpur, Malaysia","August 2, 2014","April 22, 2014","May 5, 2014",1,0
415,2015 International Conference on Intelligent Materials and Manufacturing Engineering (IMME2015),"Phuket Island, Thailand","January 16, 2015","November 15, 2014",,1,0
416,International Journal of Advanced Science and Technology,,,"November 10, 2019",,0,1
417,International Journal of Applied Engineering Research (IJAER),,,,,0,1
418,"2019 International Conference Power, Energy, Environment and Material Science (PEEMS2019)","Sanya, China","December 22, 2019","October 14, 2019",,1,0
419,International Journal of Emerging Technology & Advanced Engineering,,,"October 18, 2019",,0,1
420,International Journal of Emerging Technology & Advanced Engineering,,,"July 27, 2019",,0,1
421,International Journal of Emerging Technology & Advanced Engineering,,,"August 5, 2019",,0,1
422,IJRITCC,,,"May, 2015",,0,0
423,Annals of Heart,,,"October 20, 2019",,0,0
424,JMEST,,"June 30, 2019","June 25, 2019",,0,0
425,JMEST,,"July 31, 2019","July 25, 2019",,0,0
426,JMEST,,"August 31, 2019","August 25, 2019",,0,0
427,International Journal on Recent and Innovation Trends in Computing and Communication,,,"August 31, 2019",,0,1
428,International Journal of Current Research,,"September, 2019",,,0,1
429,HBRP Publication,,"December, 2019","September 30, 2019",,0,0
430,Patterns,,,,,0,0
431,The Second International Conference on e-Technologies and Networks for Development,"Kuala Lumpur, Malaysia","March 4, 2013","December 15, 2012",,1,0
432,The Second World Congress on Computing and Information Technology,"Kuala Lumpur, Malaysia","March 18, 2014","February 18, 2014",,0,0
433,The International Conference on Computing Technology and Information Management,"Dubai, UAE","April 9, 2014","March 10, 2014",,1,0
434,"The International Conference on Digital Information Processing, Data Mining, and Wireless Communications","Dubai, UAE","January 28, 2015","January 12, 2015",,1,0
435,The Fourth International Conference on Digital Information and Communication Technology and its Applications,"Bangkok, Thailand","May 6, 2014","April 6, 2014",,1,0
436,"The Second International Conference on Cyber Security, Cyber Peacefare and Digital Forensic","Kuala Lumpur, Malaysia","March 4, 2013","February 3, 2013",,1,0
437,SAM'15,"Las Vegas, USA","July 27, 2015","May 31, 2015",,0,0
438,The Global Technology Management Conference,"Minnesota, USA","July 15, 2015","June 25, 2015",,1,0
439,"The International Conference on Digital Information Processing, Data Mining, and Wireless Communications",Dubai,"January 28, 2015","January 8, 2015",,1,0
460,The Second International Conference on Digital Information and Communication Technology and its Applications (DICTAP2012),"University of the Thai Chamber of Commerce(UTCC), Bangkok Thailand","May 16-18, 2012","Mar. 17, 2012","Apr. 5, 2012",1,0
461,"The Third International Conference on Digital Information, Networking, and Wireless Communications (DINWC2015)","Moscow, Russia","Feb. 3-5, 2015","January 6, 2015","January 27, 2015",1,0
462,International Conference on Digital Security and Forensics (DigitalSec2014),"Ostrava, Czech Republic","June 24- 26, 2014","May 25, 2014","June 05, 2014",1,0
463,The Third International Conference on E-Technologies and Business on the Web (EBW2015),"ESG Management School, Paris, France","March 26-28, 2015","Feb. 28, 2015","Feb 12, 2015 March 08, 2015",1,0
464,"The Second International Conference on Electrical, Electronics, Computer Engineering and their Applications (EECEA2015)",Philippines,"Feb. 12-14, 2015","January 12, 2015",,1,0
465,The Global Technology Management Conference (GTMC2015),"Bemidji State University, Minnesota, USA","July 15 - 17, 2015","June 25, 2015","June 28-30, 2015",1,0
466,The Society of Digital Information and Wireless Communications (SDIWC),"Universiti Tun Hussein Onn Malaysia, Malaysia","April 21- 23, 2015","March 23, 2015","March 05,2015",0,0
467,The Second International Conference on Informatics & Applications (ICIA2013) & The Second International Conference on E-Learning and E-Technologies in Education (ICEEE2013),"Lodz University of Technology, Poland","Sept. 23-25, 2013",,,1,0
468,The Second International Conference on Informatics Engineering & Information Science (ICIEIS2013),"Universiti Teknologi Malaysia, Kuala Lumpur, Malaysia","Nov. 12-14, 2013","Oct. 25, 2013","Oct. 30, 2013",1,0
469,The Second International Conference on Education Technologies and Computers (ICETC2015),"University of the Thai Chamber of Commerce, Bangkok, Thailand","May 20-22, 2015","April 20, 2015","May 4-11, 2015",1,0
470,2015 IEEE The Second International Conference on Education Technologies and Computers (ICETC2015),"University of the Thai Chamber of Commerce, Bangkok, Thailand","May 20-22, 2015","May 1, 2015","May 5, 2015",1,0
471,The Third International Conference on Digital Information Processing and Communications(ICDIPC2013),"Dubai, UAE","Jan. 30, 2013 - Feb. 1, 2013.","Jan. 5, 2013","Jan 10, 2013",1,0
472,The International Conference on E-Technologies and Business on the Web (EBW2013),"University of the Thai Chamber of Commerce, Bangkok, Thailand","May 7-9, 2013","March 30, 2013","April 20, 2013",1,0
473,"The Fifth International Conference on Digital Information and Communication Technology and its Applications (DICTAP2015) & The Third International Conference on Technological Advances in Electrical, Electronics and Computer Engineering (TAEECE2015)","Faculty of Engineering - Lebanese University, Lebanon","April 29 - May 01, 2015","April 7, 2015","April 12, 2015",1,0
474,"International Conference on Social and Education Sciences (IConSES) & International Conference on Engineering, Science and Technology (IConEST)","Holiday Inn & Suites Denver Tech Center-Centennial Denver, CO, USA.","October 7-10, 2019","September 13, 2019",,1,0
475,The 2015 International Conference on Health Informatics and Medical Systems,"Monte Carlo Resort, Las Vegas, USA","July 27-30, 2015","May 31, 2015","June 14, 2015",1,0
476,"The 2015 International Conference on Image Processing, Computer Vision, and Pattern Recognition (IPCV'15)","Monte Carlo Resort, Las Vegas, USA","July 27-30, 2015","May 31, 2015","June 14, 2015",1,0
477,The 2015 International Conference on Wireless Networks (ICWN'15),"Monte Carlo Resort, Las Vegas, USA","July 27-30, 2015","May 31, 2015","June 14, 2015",1,0
478,The 2015 International Conference on Frontiers in Education: Computer Science and Computer Engineering (FECS'15),"Monte Carlo Resort, Las Vegas, USA","July 27-30, 2015","May 31, 2015","June 14, 2015",1,0
479,The 2015 International Conference on Parallel and Distributed Processing Techniques and Applications (PDPTA'15),"Monte Carlo Resort, Las Vegas, USA","July 27-30, 2015","May 31, 2015","June 14, 2015",1,0
480,The 2015 International Conference on Artificial Intelligence,"Las Vegas, USA","July 27, 2015","May 31, 2015","June 14, 2015",1,0
481,The 2nd International Conference on Contemporary Education and Economic Development,"Beijing, China","October 26, 2019","October 20, 2019",N/A,1,0
482,"The Second International Conference on Electrical, Electronics, Computer Engineering and their Applications","Manila, Philippines","Feb. 12, 2015","January 25, 2015","January 28, 2015",1,0
483,"ICONS 2015, The Tenth International Conference on Systems","Barcelona, Spain","April 19, 2015","December 20, 2014",N/A,1,0
484,Computing Conference 2020,"London, UK","July 16, 2020","November 1, 2019","November 15, 2019",1,0
485,Computing Conference 2020,"London, UK","July 16, 2020","November 1, 2019","November 15, 2019",1,0
486,Scitus Academics,,,,,0,0
487,"2020 5th International Conference on Electrical Engineering, Mechanical Engineering and Automation","Hangzhou, China","May 1, 2020","February 10, 2020",N/A,1,0
488,INTERNATIONAL JOURNAL OF ENGINEERING SCIENCES AND RESEARCH TECHNOLOGY,,,"August 11, 2019","August 15, 2019",0,1
489,Global Journal of Engineering Science and Research Management,,"August 8, 2019","August 5, 2019","August 10, 2019",0,1
490,"National Conference on Future Dimensions in Science, Technology & Engineering","Bikaner, India","December 7, 2019","November 7, 2019","November 12, 2019",1,0
491,INTERNATIONAL JOURNAL OF CURRENT RESEARCH,,"May 1, 2019",,,0,1
492,The second Sustainable Solutions for Growth conference 2019,"Wroclaw, Poland","September 16, 2019",N/A,N/A,1,0
493,International Journal of Advanced Research in Engineering & Management,,N/A,"September 20, 2019",N/A,0,1
494,Journal of Multidisciplinary Engineering Science and Technology,,"May 25, 2019","May 25, 2019","May 31, 2019",0,1
495,Journal of Multidisciplinary Engineering Science and Technology,,"October 25, 2019","October 25, 2019","October 31, 2019",0,1
496,Joint International Conference,"Bangkok, Thailand","July 13, 2013","June 6, 2013",N/A,1,0
497,Joint International Conference,"Zurich, Switzerland",October 12. 2013,"June 20, 2013",N/A,1,0
498,Joint International Conference,"Zurich, Switzerland",October 12. 2013,"August 12, 2013",N/A,1,0
499,Joint International Conference,"Zurich, Switzerland",October 12. 2013,"August 12, 2013",N/A,1,0
